id;сотрудник;должность;команда;грейд;создан;навык;компетенция;домен;дата;оценка_;оценка;соответствие;Дата последней оценки;Соответствие по последней дате;План развития (оценка)Дата когда должен получить??;Запрос на обучение (да/нет);Рост уровня навыков;Вовлеченость (уровень навыка растет по времени);Key-people(рандом);Сильные навыки (да/нет)(Подтвержден руководителем);Пройденные оценки (Навык прошел проверку руководителя)(да/нет)
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Asana;Навыки работы с системами управления проектами;Hard skills;20.02.2023;5;Экспертный;да;05.08.2024;;да;да; ;да;да;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Asana;Навыки работы с системами управления проектами;Hard skills;08.02.2023;5;Экспертный;да;05.08.2024;;да; ; ;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Asana;Навыки работы с системами управления проектами;Hard skills;07.05.2023;5;Экспертный;да;05.08.2024;; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Asana;Навыки работы с системами управления проектами;Hard skills;10.09.2023;5;Экспертный;да;05.08.2024;; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Asana;Навыки работы с системами управления проектами;Hard skills;03.01.2023;5;Экспертный;да;05.08.2024;да; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;C++;Знание языков программирования.;Hard skills;04.07.2023;4;Уверенный;да;05.08.2024;;да; ;да;да;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;C++;Знание языков программирования.;Hard skills;27.12.2023;4;Уверенный;да;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;C++;Знание языков программирования.;Hard skills;16.10.2023;4;Уверенный;да;05.08.2024;; ;да;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;C++;Знание языков программирования.;Hard skills;29.04.2023;4;Уверенный;да;05.08.2024;;да; ; ;да;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;C++;Знание языков программирования.;Hard skills;21.05.2023;4;Уверенный;да;05.08.2024;да; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Clickhouse;Умение работать с базами данных;Hard skills;29.12.2023;1;Не владеет;нет;05.08.2024;; ; ;да;да; ; ; 
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Clickhouse;Умение работать с базами данных;Hard skills;20.03.2023;1;Не владеет;нет;05.08.2024;; ; ;да;да;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Clickhouse;Умение работать с базами данных;Hard skills;21.07.2023;2;Начинающий;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Clickhouse;Умение работать с базами данных;Hard skills;10.03.2023;3;Базовый;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Clickhouse;Умение работать с базами данных;Hard skills;28.05.2023;3;Базовый;нет;05.08.2024;нет;да; ; ;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;CorelDraw;Навык работы с графическими редакторами;Hard skills;15.05.2023;5;Экспертный;да;05.08.2024;; ; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;CorelDraw;Навык работы с графическими редакторами;Hard skills;19.10.2023;5;Экспертный;да;05.08.2024;;да;да; ;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;CorelDraw;Навык работы с графическими редакторами;Hard skills;25.05.2023;5;Экспертный;да;05.08.2024;;да; ; ;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;CorelDraw;Навык работы с графическими редакторами;Hard skills;11.06.2023;5;Экспертный;да;05.08.2024;; ; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;CorelDraw;Навык работы с графическими редакторами;Hard skills;06.03.2023;5;Экспертный;да;05.08.2024;да;да; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Java;Знание языков программирования.;Hard skills;28.05.2023;2;Начинающий;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Java;Знание языков программирования.;Hard skills;13.01.2023;2;Начинающий;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Java;Знание языков программирования.;Hard skills;17.02.2023;2;Начинающий;нет;05.08.2024;; ; ; ; ;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Java;Знание языков программирования.;Hard skills;27.01.2023;3;Базовый;нет;05.08.2024;;да; ; ;да; ; ; 
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Java;Знание языков программирования.;Hard skills;19.01.2023;4;Уверенный;да;05.08.2024;да; ;да;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Jira;Навыки работы с системами управления проектами;Hard skills;10.09.2023;5;Экспертный;да;05.08.2024;; ;да;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Jira;Навыки работы с системами управления проектами;Hard skills;14.09.2023;5;Экспертный;да;05.08.2024;;да;да;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Jira;Навыки работы с системами управления проектами;Hard skills;07.05.2023;5;Экспертный;да;05.08.2024;; ;да;да;да; ; ; 
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Jira;Навыки работы с системами управления проектами;Hard skills;16.05.2023;5;Экспертный;да;05.08.2024;; ; ; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Jira;Навыки работы с системами управления проектами;Hard skills;29.04.2023;5;Экспертный;да;05.08.2024;да; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Linux;Навыки работы с операционными системами;Hard skills;18.09.2023;3;Базовый;нет;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Linux;Навыки работы с операционными системами;Hard skills;20.09.2023;3;Базовый;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Linux;Навыки работы с операционными системами;Hard skills;01.06.2023;4;Уверенный;да;05.08.2024;; ; ; ; ;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Linux;Навыки работы с операционными системами;Hard skills;12.11.2023;4;Уверенный;да;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Linux;Навыки работы с операционными системами;Hard skills;07.02.2023;4;Уверенный;да;05.08.2024;да; ;да;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MacOS;Навыки работы с операционными системами;Hard skills;24.01.2023;4;Уверенный;да;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MacOS;Навыки работы с операционными системами;Hard skills;06.09.2023;5;Экспертный;да;05.08.2024;; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MacOS;Навыки работы с операционными системами;Hard skills;29.12.2023;5;Экспертный;да;05.08.2024;; ; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MacOS;Навыки работы с операционными системами;Hard skills;02.09.2023;5;Экспертный;да;05.08.2024;; ; ; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MacOS;Навыки работы с операционными системами;Hard skills;10.12.2023;5;Экспертный;да;05.08.2024;да; ; ; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;ML;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;11.04.2023;2;Начинающий;нет;05.08.2024;;да; ; ;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;ML;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;18.03.2023;2;Начинающий;нет;05.08.2024;;да; ; ;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;ML;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;07.07.2023;2;Начинающий;нет;05.08.2024;;да; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;ML;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;29.06.2023;2;Начинающий;нет;05.08.2024;; ;да; ; ;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;ML;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;04.02.2023;2;Начинающий;нет;05.08.2024;нет;да; ; ;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MS SQL Server;Умение работать с базами данных;Hard skills;02.08.2023;4;Уверенный;да;05.08.2024;;да; ; ;да;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MS SQL Server;Умение работать с базами данных;Hard skills;09.09.2023;5;Экспертный;да;05.08.2024;; ; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MS SQL Server;Умение работать с базами данных;Hard skills;30.07.2023;5;Экспертный;да;05.08.2024;;да; ; ;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MS SQL Server;Умение работать с базами данных;Hard skills;11.06.2023;5;Экспертный;да;05.08.2024;; ; ; ; ;да;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MS SQL Server;Умение работать с базами данных;Hard skills;13.12.2023;5;Экспертный;да;05.08.2024;да; ; ; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MySQL;Умение работать с базами данных;Hard skills;23.01.2023;5;Экспертный;да;05.08.2024;;да;да;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MySQL;Умение работать с базами данных;Hard skills;04.08.2023;5;Экспертный;да;05.08.2024;; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MySQL;Умение работать с базами данных;Hard skills;16.08.2023;5;Экспертный;да;05.08.2024;; ; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MySQL;Умение работать с базами данных;Hard skills;06.09.2023;5;Экспертный;да;05.08.2024;; ; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;MySQL;Умение работать с базами данных;Hard skills;17.09.2023;5;Экспертный;да;05.08.2024;да;да;да;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Pandas;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;28.03.2023;3;Базовый;нет;05.08.2024;;да;да; ;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Pandas;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;03.03.2023;3;Базовый;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Pandas;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;14.07.2023;3;Базовый;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Pandas;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;29.01.2023;4;Уверенный;да;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Pandas;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;21.07.2023;5;Экспертный;да;05.08.2024;да; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;PhotoShop;Навык работы с графическими редакторами;Hard skills;23.08.2023;2;Начинающий;нет;05.08.2024;;да;да;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;PhotoShop;Навык работы с графическими редакторами;Hard skills;06.12.2023;3;Базовый;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;PhotoShop;Навык работы с графическими редакторами;Hard skills;14.03.2023;3;Базовый;нет;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;PhotoShop;Навык работы с графическими редакторами;Hard skills;21.04.2023;4;Уверенный;да;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;PhotoShop;Навык работы с графическими редакторами;Hard skills;02.10.2023;4;Уверенный;да;05.08.2024;да; ;да; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Python;Знание языков программирования.;Hard skills;22.01.2023;4;Уверенный;да;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Python;Знание языков программирования.;Hard skills;04.03.2023;4;Уверенный;да;05.08.2024;; ;да; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Python;Знание языков программирования.;Hard skills;12.08.2023;4;Уверенный;да;05.08.2024;; ;да; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Python;Знание языков программирования.;Hard skills;29.07.2023;4;Уверенный;да;05.08.2024;; ;да;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Python;Знание языков программирования.;Hard skills;14.03.2023;4;Уверенный;да;05.08.2024;да;да; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Seaborn;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;07.07.2023;3;Базовый;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Seaborn;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;21.06.2023;3;Базовый;нет;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Seaborn;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;21.08.2023;4;Уверенный;да;05.08.2024;; ; ; ; ;да; ; 
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Seaborn;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;10.11.2023;4;Уверенный;да;05.08.2024;; ; ;да;да; ; ;да
